p.case_id,c.name,c.dimension
191,uses preferred pronouns for others,pronouns
191,uses privacy at times (hides details to protect self),race-ethnicity
191,remains closeted at home,gender
191,theater,identity_affinities
191,"thought \""uncomfortable only because it pushes an idea that not everyone may agree with\""",pronoun_feelings
191,feels others should not have to agree with pronoun use,pronouns
191,experiences pronoun use as not an issue,pronouns
191,hides truth,gender
191,believes showing wealth is showing off,class
191,experiences/observes no neurodiversity discrimination,neurodiversity
191,hides whole self,race-ethnicity
191,hides whole self,gender
191,experiences/observes gender discrimination,gender
191,manages difficult situations,lgbtqia
191,hides whole self,lgbtqia
191,uses privacy at times (hides details to protect self),lgbtqia
191,avoids friction,lgbtqia
191,ambivalent feelings,pronoun_feelings
191,rides the waves with conversations,race-ethnicity
191,remains closeted as needed,lgbtqia
191,adapts attitudes or behaviors to situation,lgbtqia
191,"\""Gender is a concept that shouldn’t be forced on anyone and I feel sexuality should be just as fluid.\""",identity_reflection
191,considers pronoun use through lens of self and others,pronouns
191,hides opinions,race-ethnicity
191,pronouns feel awkward,pronoun_feelings
224,professionalizes,age
224,deals with being underestimated,gender
224,"\""My experiences, my family, and the media I consume. The books I read, the tv shows I watch, have a major part of who I am. My family and friends, who both make me feel supported and loved.\""",identity_reflection
224,professionalizes,gender
224,observes pronouns used online but not in real life,pronouns
224,"family, Chicago",identity_affinities
224,positive feelings,pronoun_feelings
224,hides lgbtqia+ identity as needed,lgbtqia
224,controls impressions using clothing or makeup,age
224,intervenes,race-ethnicity
224,assimilates into dominant culture,age
224,educates people,race-ethnicity
224,experiences/observes gender discrimination,gender
224,manages difficult situations,lgbtqia
224,hides whole self,lgbtqia
224,uses privacy at times (hides details to protect self),lgbtqia
224,avoids friction,lgbtqia
224,holds back,lgbtqia
224,uses white skin color to gain access and intervene as a mediator,race-ethnicity
224,seeks safety,lgbtqia
224,adapts attitudes or behaviors to situation,lgbtqia
224,listens to racists in attempt to influence,race-ethnicity
224,proves self,gender
224,works harder or overcompensates,gender
151,as a muslim uses inner voice to lift self,religion
151,speaks up against misogyny,gender
151,expresses love,age
151,practices kindness or generosity,class
151,indifferent feelings,pronoun_feelings
151,uses self-confidence,age
151,uses self-confidence,class
151,observes age discrimination,age
151,pronouns feel fine,pronoun_feelings
151,resists pressures,age
151,confronts problems,age
151,confronts problems,race-ethnicity
151,feels confident,religion
151,feels pride,religion
151,sets boundaries,class
151,feels religious pride or joy,religion
151,resists or confronts race/ethnicity discrimination,race-ethnicity
151,associates the practice of pronouns with school,pronouns
368,"gym, college students",identity_affinities
368,"\""Everyone is unique. Each person has their own identity, and that's what makes them valuable.\""",identity_reflection
368,experiences/observes no classism,class
368,experiences/observes no religious discrimination,religion
368,experiences/observes no ableism,disability
368,experiences pronoun use as unnecessary for most people,pronouns
368,experiences/observes no neurodiversity discrimination,neurodiversity
368,ignores people,race-ethnicity
368,experiences/observes no gender discrimination,gender
368,manages difficult situations,lgbtqia
368,ignores people,lgbtqia
368,confronts problems,lgbtqia
368,resists pressures,lgbtqia
368,ambivalent feelings,pronoun_feelings
368,ignores race/ethnicity discrimination,race-ethnicity
368,adapts attitudes or behaviors to situation,lgbtqia
368,ignores lgbtqia+ discrimination,lgbtqia
368,considers pronoun use through lens of self and others,pronouns
368,pronouns feel awkward,pronoun_feelings
368,pronouns feel ok online but awkward in person,pronoun_feelings
226,family,identity_affinities
226,spouse,identity_affinities
226,children,identity_affinities
226,faith,identity_affinities
226,truth,identity_affinities
226,love,identity_affinities
226,believes using neurodivergence as a crutch is limiting and individuals need to find a way through,neurodiversity
226,catholic church,identity_affinities
226,"\""girls create babies and boys do not. the proliferation of the falsehood that you can change that fact is damaging to children.\""",gender
226,"finds it appalling to be \""renamed as cisgendered\""",lgbtqia
226,believes prayer is the path to overcoming neurodivergent crutch,neurodiversity
226,resents lgbtqia+ identities,lgbtqia
226,"finds \""the lack up support and encouragement of catholics in education embarrassing\""",religion
226,believes presenting as disabled or amplifying disability themes is a flaw that encourages weakness and minimizes strength,disability
226,indicates lack of empathy,disability
226,believes questions about gender discrimination indicates a failure of education,gender
226,resents diversity,lgbtqia
226,feels defensive,race-ethnicity
226,experiences/observes no classism,class
226,conflates gender and sexuality,gender
226,resents,lgbtqia
226,blames,lgbtqia
226,feels defensive,lgbtqia
226,experiences/observes no ageism,age
226,resents people,race-ethnicity
226,expresses ableism,neurodiversity
226,pronouns feel irrelevant or unnecessary,pronoun_feelings
226,experiences or observes blasphemy and anti-christian sentiment,religion
226,considers pronoun use through lens of self and others,pronouns
226,feels skin color not important,race-ethnicity
226,"observes \""racism that expects whites to feel ashamed of themselves\""",race-ethnicity
226,"observes \""racism consistently in education expecting that black and brown people cannot compete or achieve without lowering standards\""",race-ethnicity
226,"\""Life is hard work. If you are not growing your own food to eat every day, then someone else is. What work are you trading for that food? How are you making the world a better place? If you are focused on yourself/identity then you are setting yourself up for depression and dissatisfaction. If you are focused on others, then in turn you will find the fulfillment that is the reason for living.\""",identity_reflection
226,feels pronouns are grammatical shorthand that does not define people,pronouns
226,experiences pronoun use as grammar not definitions,pronouns
226,experiences or expresses distress related to religion,religion
120,experiences pronoun use as unusual (in texas),pronouns
120,positive feelings,pronoun_feelings
120,changes voice or tone or manner of speaking,class
120,loses native tongue,race-ethnicity
120,changes voice or tone or manner of speaking,race-ethnicity
120,feels pressured by parents to have children,gender
120,assimilates into dominant culture,class
120,assimilates into dominant culture,race-ethnicity
120,resists pressures,gender
120,ignores people,gender
120,avoids frictions,gender
120,mirrors,class
120,considers pronoun use through lens of self and others,pronouns
120,"\""I think I try to conform to their social norms because I am Asian and they are white. With my husband’s grandmother, I notice I have a more pronounced Southern accent because I feel the need to conform to her and not stand out.\""",identity_reflection
120,avoids parents,gender
120,feels pressured by mom to do more house cleaning,gender
120,fears getting looks for sharing pronouns in public,pronouns
120,pronouns feel clarifying helpful useful,pronoun_feelings
120,resists or rejects gender norms policing or enforcement,gender
120,changes name or uses nickname,race-ethnicity
193,"everywhere, sharing hospitality",identity_affinities
193,does not subscribe to pronouns,pronouns
193,experiences/observes no religious discrimination,religion
193,experiences/observes no ableism,disability
193,experiences/observes no neurodiversity discrimination,neurodiversity
193,experiences/observes no gender discrimination,gender
193,experiences/observes no lgbtqia+ discrimination,lgbtqia
193,experiences/observes no ageism,age
193,pronouns feel irrelevant or unnecessary,pronoun_feelings
193,considers pronoun use through lens of self,pronouns
193,negative feelings,pronoun_feelings
213,family,identity_affinities
213,online communities (popular culture),identity_affinities
213,avoids talking about relationships,lgbtqia
213,sets boundaries,lgbtqia
213,deals with biphobia,lgbtqia
213,"thought \""good for not assuming gender but may pose difficulties for gender non-conforming or trans folks who now have to either out themselves or lie in that situation\""",pronoun_feelings
213,hides lgbtqia+ identity as needed,lgbtqia
213,identifies anxiety as something lived with (separate from the self) rather than a self-defining feature,disability
213,self-soothes,neurodiversity
213,masks,neurodiversity
213,learns to take care of self better,neurodiversity
213,experiences/observes no racial or ethnic discrimination,race-ethnicity
213,experiences/observes no classism,class
213,experiences/observes no religious discrimination,religion
213,uses therapy,disability
213,scripts,neurodiversity
213,manages difficult situations,disability
213,hides whole self,neurodiversity
213,avoids frictions,neurodiversity
213,isolates or withdraws,gender
213,experiences/observes gender discrimination,gender
213,manages difficult situations,lgbtqia
213,hides whole self,lgbtqia
213,experiences pronoun use as comfortable,pronouns
213,uses privacy at times (hides details to protect self),lgbtqia
213,avoids friction,lgbtqia
213,stims,neurodiversity
213,stays silent,gender
213,ambivalent feelings,pronoun_feelings
213,experiences stigma,disability
213,expresses needs,neurodiversity
213,remains closeted as needed,lgbtqia
213,adapts attitudes or behaviors to situation,lgbtqia
213,uses privacy (hides details or protects self),neurodiversity
213,considers pronoun use through lens of self and others,pronouns
213,forgets to share pronouns sometimes and worries that this may be interpreted as disrespectful,pronouns
213,pronouns feel accepting or inclusive or respectful or welcoming,pronoun_feelings
213,resists or rejects gender norms policing or enforcement,gender
213,finds identity outside of gender,gender
213,identifies anxiety as something in body and not something that can always be controlled,disability
213,"\""I hope that I get to see where this research goes in the future!\""",identity_reflection
213,conforms to gender expectations at times despite being uncomfortable doing so,gender
213,friends,identity_affinities
200,"sports, breweries, restaurants, concerts, participating",identity_affinities
200,positive feelings,pronoun_feelings
200,primed to understand male behavior having grown up with brothers and being raised like a boy,gender
200,"has delayed response or understanding of \""how awful someone has just been\""",gender
200,"\""I'm not sure if this is just me, but I'm in the dismantling and exploration part of my identity and I'm looking forward to the part where I have let go of the things in my identity that have not and will not serve me.\""",identity_reflection
